Country Name,2017,2018,2019,2020,2021
Afghanistan,18753469630.2586,18053228578.8878,18799450742.7823,20116137325.8206,21654654675
Angola,68972763787.1547,77792940077.1193,69309104806.6311,53619071176.139,72546985708.5707
Albania,13019689336.6919,15156432309.8977,15401830754.0773,15131866270.5936,18260043499.8068
Arab World,2584096654452.217,2785878075917.03,2808099764578.028,2496251185652.42,2850421035169.38
United Arab Emirates,385605506854.881,422215043584.969,417215559513.364,358868765174.924,43632465334
Argentina,643628665302.155,524819742918.669,452818426182.658,389591035520.675,491492700657.012
Armenia,11527458565.7334,12457941907.0333,13619291361.2814,12641209802.112,13861183873.5931
Australia,1326882872011.46,1428529571351.058,1391952510370.48,1327836171068.51,1542659899992.54
Austria,417261151844.977,455168151938.941,445011872704.47,433258467676.515,477082467454.295
Azerbaijan,40865558912.3867,47112941176.4706,48174235294.1176,42693000000,54622176470.5882
Burundi,2712324087.2789,2660123624.27729,2581268125.78917,2780510624.64184,2902029385.82592
Belgium,502764720556.354,543347368038.353,535376258146.666,521676942134.632,599879025377.51
Benin,12701654743.2149,14262407011.4764,14391686632.7821,15651545331.5404,17785640079.1191
Bangladesh,293754646182.389,321379023557.462,351238438542.792,373902134700.41,416264942893.326
Bulgaria,59199447421.4924,66363422450.2112,68915416141.9576,69889347433.4324,80271119426.1076
Bahrain,35473776595.7447,37802005319.1489,38653318085.1064,34723357446.8085,38868663031.9149
Belarus,54726595249.1849,60031262269.3365,64409647193.8044,61489588894.8211,68218816484.1226
Belize,1844906692.53913,1887465218.48204,1945250235.57603,1585631670.3461,1789923264.03
Bolivia,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40408208523.8784
Brazil,2063514688761.976,1916933708381.89,1873288158977.227,1448565936739.56,1608981220812.2
Barbados,4981588899.82409,5097283213.13965,5304164323.2532,4689534961.75956,4900800000
Bhutan,2450364928.07302,2446866404.93058,2535657069.05537,2315436303.29988,24453525435
Botswana,16088437675.1648,16914245098.0392,16695925027.1944,14930072799.0084,17613846472.9916
Canada,1649265644244.095,1725329192783.024,1742015045482.313,1645423407568.36,1990761609665.23
Switzerland,704478516963.855,735539301552.674,731767398052.879,752248045730.11,812866928867.47
Chile,276364933679.626,295402652037.155,278584733103.01,252727193710.018,317058508651.76
China,12310409370894.2,13894817549380.29,14279937500608,14687673892882,17734062645371.4
Cameroon,36098550141.5897,39973839064.6084,39670977332.7348,40804449726.0184,45238613479.8308
Colombia,311883730690.129,334198214706.209,323109543324.321,270299982887.01,314322453228.295
Comoros,1077439662.5798,1188797574.94753,1195019559.09381,1223876064.52345,1327964249.32649
Cabo Verde,1769787215.42141,1966501117.61028,1981845740.70615,1703698676.69742,1936174043.45293
Costa Rica,60516043590.1832,62420165099.7231,64417670082.6127,62158002233.0279,64282438666.739
Cuba,96851000000,100050000000,103428000000,107352000000,10989378673
Cyprus,22870833709.8961,25522671232.8767,25758357774.5438,24692095945.1742,27719337670.0177
Czechia,218628940951.675,248950103352.137,252498032247.163,245339322066.759,282340849856.614
Germany,3690849152517.65,3977289455388.23,3888326788627.445,3846413928653.707,4223116205968.92
Djibouti,2762581334.22612,2913466732.12507,3088853638.56832,3181071153.6622,3371102123.51343
Denmark,332121063806.391,356841216410.068,347561349210.979,356084867685.639,397104343478.301
Algeria,170097014589.134,174910878623.049,171767403748.19,145009181490.62,167983141738.311
Ecuador,104295862000,107562008000,108108009000,99291124000,106165866000
Spain,1312539279462.36,1420994142512.16,1393046093137.25,1281484640043.58,1425276586282.92
Estonia,26924385103.0659,30489500904.8564,31045591753.4901,30650285471.7215,36262924353.6041
Ethiopia,81770791970.982,84269348327.3454,95912590628.1412,107657734392.446,111271112329.975
Finland,255647979916.471,275715087494.902,268508200125.49,271836962949.417,299155237589.142
Fiji,5353404422.08138,5581371850.14851,5496264765.78411,4574413823.31243,4592118709.55279
France,2595151045197.65,2790956878746.66,2728870246705.878,2630317731455.26,2937472757953.44
Gabon,14929488770.7315,16867325126.5423,16874405839.7948,15316824039.3269,18269350433.7992
