Date,Arrivals,,
2019-01-01,1551947,,
2019-02-01,1492719,,
2019-03-01,1462838,,
2019-04-01,1282355,,
2019-05-01,1233736,,
2019-06-01,1395170,,
2019-07-01,1593705,,
2019-08-01,1474406,,
2019-09-01,1241027,,
2019-10-01,1569480,,
2019-11-01,1699316,,
2019-12-01,1916815,,
2020-01-01,1730952,,
2020-02-01,1513549,,
2020-03-01,615985,,
2020-04-01,3053,,
2020-05-01,29524,,
2020-06-01,189546,,
2020-07-01,297298,,
2020-08-01,290430,,
2020-09-01,302558,,
2020-10-01,373708,,
2020-11-01,477918,,
2020-12-01,512601,,
2021-01-01,581000,,
2021-02-01,541430,,
2021-03-01,613085,,
2021-04-01,491807,,
2021-05-01,224663,,
2021-06-01,253543,,
2021-07-01,411527,,
2021-08-01,457561,,
2021-09-01,550855,,
2021-10-01,845186,,
2021-11-01,947525,,
2021-12-01,1091453,,
